"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C32,C33,C34,C36,C37","100nF","~","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","7",""
"C2,C4","C","~","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","2",""
"C5,C6,C7,C8,C10,C12,C14","104","~","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","7",""
"C9,C11,C13","50V 100uF","~","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm","3",""
"C15","50V 4700uF","~","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","1",""
"C16","470V 220uF","~","Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn","1",""
"C18","C_external","~","","1",""
"C19,C20,C21","50V 22uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","3",""
"C22,C23,C27,C35","C_Polarized","~","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm_P5.00mm","4",""
"C24,C25,C26","5-65pF","https://www.farnell.com/datasheets/3868946.pdf","GB2:C_Trim","3",""
"C28,C29,C30,C31","30pF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","4",""
"C38","400VDC 3.3uF","~","Capacitor_THT:C_Rect_L33.0mm_W15.0mm_P27.50mm_MKS4","1",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","2",""
"D3,D4,D5,D6","UF5408","http://www.vishay.com/docs/88756/uf5400.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","4",""
"J1,J2","Screw_Terminal_01x02","~","TerminalBlock_Dinkle:TerminalBlock_Dinkle_DT-55-B01X-02_P10.00mm","2",""
"J3","Barrel_Jack_Switch","~","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","1",""
"J4","Conn_02x10_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1",""
"L2","L_Ferrite","~","Inductor_THT:L_Toroid_Vertical_L21.6mm_W8.4mm_P8.38mm_Pulse_G","1",""
"L3","1000uH","~","Inductor_THT:L_Toroid_Vertical_L21.6mm_W8.4mm_P8.38mm_Pulse_G","1",""
"NT1","NetTie_2","~","NetTie:NetTie-2_SMD_Pad2.0mm","1",""
"PS1,PS2,PS3","ITX2412SA-HR","https://www.xppower.com/pdfs/SF_ITX.pdf","Converter_DCDC:Converter_DCDC_XP_POWER-ITxxxxxS_THT","3",""
"Q1,Q2,Q3,Q4","IRF540N","http://www.irf.com/product-info/datasheets/data/irf540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","4",""
"Q5,Q6,Q7,Q8","IPA60R180P7","https://www.vle.cam.ac.uk/pluginfile.php/5112411/mod_folder/content/0/2.%20Datasheet%20-%20600V%20MOSFET%20IPA60R180P7.pdf?forcedownload=1","Package_TO_SOT_THT:TO-220-3_Vertical","4",""
"Q9,Q10,Q11,Q12","2N7000","https://www.vishay.com/docs/70226/70226.pdf","Package_TO_SOT_THT:TO-92L_HandSolder","4",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R19,R20,R21","R","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","16",""
"R16,R17,R18","100k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","3",""
"R22,R23,R24,R25","R_Shunt","~","Resistor_THT:R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm","4",""
"T1","Transformer_1P_2S","~","GB2:Transformer_GB2_Horizontal","1",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51","TestPoint","~","Connector_Pin:Pin_D1.0mm_L10.0mm","51",""
"U1,U2","IR21814","https://www.infineon.com/dgdl/ir2181.pdf?fileId=5546d462533600a4015355c93cdd16ce","Package_DIP:DIP-14_W7.62mm_Socket","2",""
"U3,U4,U5,U6","TLP250","http://toshiba.semicon-storage.com/info/docget.jsp?did=16821&prodName=TLP250","Package_DIP:DIP-8_W7.62mm","4",""
"U7","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U8","L7812/L7815","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U10","74LS14","http://www.ti.com/lit/gpn/sn74LS14","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U11","74LS08","http://www.ti.com/lit/gpn/sn74LS08","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U12","74LS02","http://www.ti.com/lit/gpn/sn74ls02","Package_DIP:DIP-14_W7.62mm_Socket","1",""
